Full Name,Position(s),Jersey Number,Team Name
Asa Newell,F,14,Atlanta Hawks
Buddy Hield,G,8,Atlanta Hawks
CJ McCollum,G,3,Atlanta Hawks
Caleb Houstan,G,33,Atlanta Hawks
Christian Koloko,C,35,Atlanta Hawks
Corey Kispert,F,24,Atlanta Hawks
Dyson Daniels,G,5,Atlanta Hawks
Gabe Vincent,G,4,Atlanta Hawks
Jalen Johnson,F,1,Atlanta Hawks
Jock Landale,C,31,Atlanta Hawks
Jonathan Kuminga,F,0,Atlanta Hawks
Keaton Wallace,G,2,Atlanta Hawks
Mouhamed Gueye,F,18,Atlanta Hawks
Nickeil Alexander-Walker,G,7,Atlanta Hawks
Onyeka Okongwu,F,17,Atlanta Hawks
RayJ Dennis,G,00,Atlanta Hawks
Zaccharie Risacher,F,10,Atlanta Hawks
