Full Name,Position(s),Jersey Number,Team Name
Amari Williams,F,77,Boston Celtics
Baylor Scheierman,G,55,Boston Celtics
Derrick White,G,9,Boston Celtics
Hugo Gonzalez,G,28,Boston Celtics
Jaylen Brown,G,7,Boston Celtics
Jayson Tatum,F,0,Boston Celtics
John Tonje,G,8,Boston Celtics
Jordan Walsh,G,27,Boston Celtics
Luka Garza,C,52,Boston Celtics
Max Shulga,G,44,Boston Celtics
Neemias Queta,C,88,Boston Celtics
Nikola Vucevic,C,4,Boston Celtics
Payton Pritchard,G,11,Boston Celtics
Ron Harper Jr.,G,13,Boston Celtics
Sam Hauser,F,30,Boston Celtics
