Full Name,Position(s),Jersey Number,Team Name
Ben Saraf,G,77,Brooklyn Nets
Chaney Johnson,F,31,Brooklyn Nets
Danny Wolf,F,2,Brooklyn Nets
Day'Ron Sharpe,C,20,Brooklyn Nets
Drake Powell,G,4,Brooklyn Nets
E.J. Liddell,F,9,Brooklyn Nets
Egor Demin,G,8,Brooklyn Nets
Grant Nelson,F,N/A,Brooklyn Nets
Jalen Wilson,F,22,Brooklyn Nets
Josh Minott,F,00,Brooklyn Nets
Michael Porter Jr.,F,17,Brooklyn Nets
Nic Claxton,C,33,Brooklyn Nets
Noah Clowney,F,21,Brooklyn Nets
Nolan Traore,G,88,Brooklyn Nets
Ochai Agbaji,G,30,Brooklyn Nets
Terance Mann,G,14,Brooklyn Nets
Tyson Etienne,G,10,Brooklyn Nets
Ziaire Williams,F,1,Brooklyn Nets
