Full Name,Position(s),Jersey Number,Team Name
Antonio Reeves,G,12,Charlotte Hornets
Brandon Miller,F,24,Charlotte Hornets
Coby White,G,3,Charlotte Hornets
Grant Williams,F,2,Charlotte Hornets
Josh Green,G,10,Charlotte Hornets
Kon Knueppel,G,7,Charlotte Hornets
LaMelo Ball,G,1,Charlotte Hornets
Liam McNeeley,G,33,Charlotte Hornets
Miles Bridges,F,0,Charlotte Hornets
Moussa Diabate,F,14,Charlotte Hornets
PJ Hall,C,16,Charlotte Hornets
Pat Connaughton,G,21,Charlotte Hornets
Ryan Kalkbrenner,C,11,Charlotte Hornets
Sion James,G,4,Charlotte Hornets
Tidjane Salaun,F,31,Charlotte Hornets
Tosan Evbuomwan,F,20,Charlotte Hornets
Tre Mann,G,23,Charlotte Hornets
Xavier Tillman,F,26,Charlotte Hornets
