Full Name,Position(s),Jersey Number,Team Name
Anfernee Simons,G,22,Chicago Bulls
Collin Sexton,G,2,Chicago Bulls
Guerschon Yabusele,F,28,Chicago Bulls
Isaac Okoro,F,35,Chicago Bulls
Jaden Ivey,G,31,Chicago Bulls
Jalen Smith,F,25,Chicago Bulls
Josh Giddey,G,3,Chicago Bulls
Lachlan Olbrich,C,47,Chicago Bulls
Leonard Miller,F,33,Chicago Bulls
Mac McClung,G,5,Chicago Bulls
Matas Buzelis,F,14,Chicago Bulls
Nick Richards,C,13,Chicago Bulls
Noa Essengue,F,24,Chicago Bulls
Patrick Williams,F,44,Chicago Bulls
Rob Dillingham,G,4,Chicago Bulls
Tre Jones,G,30,Chicago Bulls
Yuki Kawamura,G,8,Chicago Bulls
Zach Collins,F,12,Chicago Bulls
