Full Name,Position(s),Jersey Number,Team Name
Craig Porter Jr.,G,9,Cleveland Cavaliers
Dean Wade,F,32,Cleveland Cavaliers
Dennis Schroder,G,8,Cleveland Cavaliers
Donovan Mitchell,G,45,Cleveland Cavaliers
Evan Mobley,C,4,Cleveland Cavaliers
James Harden,G,1,Cleveland Cavaliers
Jarrett Allen,C,31,Cleveland Cavaliers
Jaylon Tyson,G,20,Cleveland Cavaliers
Keon Ellis,G,14,Cleveland Cavaliers
Larry Nance Jr.,F,22,Cleveland Cavaliers
Max Strus,G,2,Cleveland Cavaliers
Nae'Qwan Tomlin,F,35,Cleveland Cavaliers
Olivier Sarr,F,33,Cleveland Cavaliers
Riley Minix,F,12,Cleveland Cavaliers
Sam Merrill,G,5,Cleveland Cavaliers
Thomas Bryant,C,3,Cleveland Cavaliers
Tristan Enaruna,F,21,Cleveland Cavaliers
Tyrese Proctor,G,24,Cleveland Cavaliers
