Full Name,Position(s),Jersey Number,Team Name
AJ Johnson,G,8,Dallas Mavericks
Brandon Williams,G,10,Dallas Mavericks
Caleb Martin,F,16,Dallas Mavericks
Cooper Flagg,F,32,Dallas Mavericks
Daniel Gafford,F,21,Dallas Mavericks
Dereck Lively II,C,2,Dallas Mavericks
Dwight Powell,F,7,Dallas Mavericks
John Poulakidas,G,1,Dallas Mavericks
Khris Middleton,F,20,Dallas Mavericks
Klay Thompson,G,31,Dallas Mavericks
Kyrie Irving,G,11,Dallas Mavericks
Marvin Bagley III,F,35,Dallas Mavericks
Max Christie,G,00,Dallas Mavericks
Moussa Cisse,C,30,Dallas Mavericks
Naji Marshall,F,13,Dallas Mavericks
P.J. Washington,F,25,Dallas Mavericks
Ryan Nembhard,G,9,Dallas Mavericks
Tyler Smith,F,23,Dallas Mavericks
