Full Name,Position(s),Jersey Number,Team Name
Aaron Gordon,F,32,Denver Nuggets
Bruce Brown,G,11,Denver Nuggets
Cameron Johnson,F,23,Denver Nuggets
Christian Braun,G,0,Denver Nuggets
Curtis Jones,G,1,Denver Nuggets
DaRon Holmes II,F,14,Denver Nuggets
David Roddy,F,N/A,Denver Nuggets
Jalen Pickett,G,24,Denver Nuggets
Jamal Murray,G,27,Denver Nuggets
Jonas Valanciunas,C,17,Denver Nuggets
Julian Strawther,G,3,Denver Nuggets
KJ Simpson,G,25,Denver Nuggets
Nikola Jokic,C,15,Denver Nuggets
Peyton Watson,G,8,Denver Nuggets
Spencer Jones,F,21,Denver Nuggets
Tim Hardaway Jr.,G,10,Denver Nuggets
Tyus Jones,G,N/A,Denver Nuggets
Zeke Nnaji,F,22,Denver Nuggets
