Full Name,Position(s),Jersey Number,Team Name
Ausar Thompson,G,9,Detroit Pistons
Bobi Klintman,F,34,Detroit Pistons
Cade Cunningham,G,2,Detroit Pistons
Caris LeVert,G,8,Detroit Pistons
Chaz Lanier,G,20,Detroit Pistons
Daniss Jenkins,G,24,Detroit Pistons
Duncan Robinson,F,55,Detroit Pistons
Isaac Jones,C,3,Detroit Pistons
Isaiah Stewart,F,28,Detroit Pistons
Jalen Duren,C,0,Detroit Pistons
Javonte Green,G,31,Detroit Pistons
Kevin Huerter,G,27,Detroit Pistons
Marcus Sasser,G,25,Detroit Pistons
Paul Reed,F,7,Detroit Pistons
Ronald Holland II,F,5,Detroit Pistons
Tobias Harris,F,12,Detroit Pistons
Tolu Smith,F,35,Detroit Pistons
Wendell Moore Jr.,F,14,Detroit Pistons
