Full Name,Position(s),Jersey Number,Team Name
Al Horford,C,20,Golden State Warriors
Brandin Podziemski,G,2,Golden State Warriors
De'Anthony Melton,G,8,Golden State Warriors
Draymond Green,F,23,Golden State Warriors
Gary Payton II,G,0,Golden State Warriors
Gui Santos,F,15,Golden State Warriors
Jimmy Butler III,F,10,Golden State Warriors
Kristaps Porzingis,C,7,Golden State Warriors
LJ Cryer,G,18,Golden State Warriors
Malevy Leons,F,33,Golden State Warriors
Moses Moody,G,4,Golden State Warriors
Nate Williams,G,19,Golden State Warriors
Pat Spencer,G,61,Golden State Warriors
Quinten Post,C,21,Golden State Warriors
Seth Curry,G,31,Golden State Warriors
Stephen Curry,G,30,Golden State Warriors
Will Richard,G,3,Golden State Warriors
