Full Name,Position(s),Jersey Number,Team Name
Aaron Holiday,G,0,Houston Rockets
Alperen Sengun,C,28,Houston Rockets
Amen Thompson,G,1,Houston Rockets
Clint Capela,C,30,Houston Rockets
Dorian Finney-Smith,F,2,Houston Rockets
Fred VanVleet,G,5,Houston Rockets
Isaiah Crawford,F,27,Houston Rockets
JD Davison,G,4,Houston Rockets
Jabari Smith Jr.,F,10,Houston Rockets
Jae'Sean Tate,F,8,Houston Rockets
Jeff Green,F,32,Houston Rockets
Josh Okogie,G,20,Houston Rockets
Kevin Durant,F,7,Houston Rockets
Reed Sheppard,G,15,Houston Rockets
Steven Adams,C,12,Houston Rockets
Tari Eason,F,17,Houston Rockets
Tristen Newton,G,13,Houston Rockets
