Full Name,Position(s),Jersey Number,Team Name
Aaron Nesmith,G,23,Indiana Pacers
Andrew Nembhard,G,2,Indiana Pacers
Ben Sheppard,G,26,Indiana Pacers
Ethan Thompson,G,55,Indiana Pacers
Ivica Zubac,C,40,Indiana Pacers
Jalen Slawson,F,18,Indiana Pacers
Jarace Walker,F,5,Indiana Pacers
Jay Huff,C,32,Indiana Pacers
Johnny Furphy,G,12,Indiana Pacers
Kam Jones,G,7,Indiana Pacers
Kobe Brown,G,24,Indiana Pacers
Micah Potter,C,11,Indiana Pacers
Obi Toppin,F,1,Indiana Pacers
Pascal Siakam,F,43,Indiana Pacers
Quenton Jackson,G,29,Indiana Pacers
T.J. McConnell,G,9,Indiana Pacers
Taelon Peter,G,4,Indiana Pacers
Tyrese Haliburton,G,0,Indiana Pacers
