Full Name,Position(s),Jersey Number,Team Name
Bennedict Mathurin,G,9,LA Clippers
Bogdan Bogdanovic,G,7,LA Clippers
Bradley Beal,G,0,LA Clippers
Brook Lopez,C,11,LA Clippers
Cam Christie,G,12,LA Clippers
Darius Garland,G,10,LA Clippers
Derrick Jones Jr.,F,5,LA Clippers
Isaiah Jackson,F,23,LA Clippers
John Collins,F,20,LA Clippers
Jordan Miller,G,22,LA Clippers
Kawhi Leonard,F,2,LA Clippers
Kobe Sanders,G,4,LA Clippers
Kris Dunn,G,8,LA Clippers
Nicolas Batum,F,33,LA Clippers
Norchad Omier,F,55,LA Clippers
Sean Pedulla,G,00,LA Clippers
TyTy Washington Jr.,G,15,LA Clippers
Yanic Konan Niederhauser,C,14,LA Clippers
