Full Name,Position(s),Jersey Number,Team Name
Adou Thiero,F,1,Los Angeles Lakers
Austin Reaves,G,15,Los Angeles Lakers
Bronny James,G,9,Los Angeles Lakers
Chris Manon,G,30,Los Angeles Lakers
Dalton Knecht,F,4,Los Angeles Lakers
Deandre Ayton,C,5,Los Angeles Lakers
Drew Timme,F,17,Los Angeles Lakers
Jake LaRavia,F,12,Los Angeles Lakers
Jarred Vanderbilt,F,2,Los Angeles Lakers
Jaxson Hayes,C,11,Los Angeles Lakers
Kobe Bufkin,G,18,Los Angeles Lakers
LeBron James,F,23,Los Angeles Lakers
Luka Doncic,G,77,Los Angeles Lakers
Luke Kennard,G,10,Los Angeles Lakers
Marcus Smart,G,36,Los Angeles Lakers
Maxi Kleber,F,14,Los Angeles Lakers
Nick Smith Jr.,G,20,Los Angeles Lakers
Rui Hachimura,F,28,Los Angeles Lakers
