Full Name,Position(s),Jersey Number,Team Name
AJ Green,G,20,Milwaukee Bucks
Alex Antetokounmpo,F,29,Milwaukee Bucks
Andre Jackson Jr.,G,44,Milwaukee Bucks
Bobby Portis,F,9,Milwaukee Bucks
Cam Thomas,G,24,Milwaukee Bucks
Cormac Ryan,G,30,Milwaukee Bucks
Gary Harris,G,11,Milwaukee Bucks
Gary Trent Jr.,G,5,Milwaukee Bucks
Giannis Antetokounmpo,F,34,Milwaukee Bucks
Jericho Sims,C,00,Milwaukee Bucks
Kevin Porter Jr.,G,7,Milwaukee Bucks
Kyle Kuzma,F,18,Milwaukee Bucks
Myles Turner,C,3,Milwaukee Bucks
Ousmane Dieng,F,21,Milwaukee Bucks
Pete Nance,F,35,Milwaukee Bucks
Ryan Rollins,G,13,Milwaukee Bucks
Taurean Prince,F,12,Milwaukee Bucks
Thanasis Antetokounmpo,F,43,Milwaukee Bucks
