Full Name,Position(s),Jersey Number,Team Name
Anthony Edwards,G,5,Minnesota Timberwolves
Ayo Dosunmu,G,13,Minnesota Timberwolves
Bones Hyland,G,8,Minnesota Timberwolves
Donte DiVincenzo,G,0,Minnesota Timberwolves
Enrique Freeman,F,25,Minnesota Timberwolves
Jaden McDaniels,F,3,Minnesota Timberwolves
Jaylen Clark,G,22,Minnesota Timberwolves
Joan Beringer,F,19,Minnesota Timberwolves
Joe Ingles,F,7,Minnesota Timberwolves
Julian Phillips,F,4,Minnesota Timberwolves
Julius Randle,F,30,Minnesota Timberwolves
Kyle Anderson,F,5,Minnesota Timberwolves
Mike Conley,G,10,Minnesota Timberwolves
Naz Reid,C,11,Minnesota Timberwolves
Rocco Zikarsky,C,44,Minnesota Timberwolves
Rudy Gobert,C,27,Minnesota Timberwolves
Terrence Shannon Jr.,G,1,Minnesota Timberwolves
Zyon Pullin,G,5,Minnesota Timberwolves
