Full Name,Position(s),Jersey Number,Team Name
Bryce McGowens,G,11,New Orleans Pelicans
DeAndre Jordan,C,9,New Orleans Pelicans
Dejounte Murray,G,5,New Orleans Pelicans
Derik Queen,C,22,New Orleans Pelicans
Herbert Jones,F,2,New Orleans Pelicans
Hunter Dickinson,C,4,New Orleans Pelicans
Jeremiah Fears,G,0,New Orleans Pelicans
Jordan Hawkins,G,24,New Orleans Pelicans
Jordan Poole,G,3,New Orleans Pelicans
Josh Oduro,C,13,New Orleans Pelicans
Karlo Matkovic,F,17,New Orleans Pelicans
Kevon Looney,F,55,New Orleans Pelicans
Micah Peavy,G,14,New Orleans Pelicans
Saddiq Bey,G,41,New Orleans Pelicans
Trey Alexander,G,23,New Orleans Pelicans
Trey Murphy III,F,25,New Orleans Pelicans
Yves Missi,C,21,New Orleans Pelicans
Zion Williamson,F,1,New Orleans Pelicans
