Full Name,Position(s),Jersey Number,Team Name
Ariel Hukporti,C,55,New York Knicks
Dillon Jones,F,33,New York Knicks
Jalen Brunson,G,11,New York Knicks
Jeremy Sochan,F,20,New York Knicks
Jordan Clarkson,G,00,New York Knicks
Jose Alvarado,G,5,New York Knicks
Josh Hart,G,3,New York Knicks
Karl-Anthony Towns,C,32,New York Knicks
Kevin McCullar Jr.,G,9,New York Knicks
Landry Shamet,G,44,New York Knicks
Mikal Bridges,G,25,New York Knicks
Miles McBride,G,2,New York Knicks
Mitchell Robinson,C,23,New York Knicks
Mohamed Diawara,F,51,New York Knicks
OG Anunoby,F,8,New York Knicks
Pacome Dadiet,F,4,New York Knicks
Trey Jemison III,F,50,New York Knicks
Tyler Kolek,G,13,New York Knicks
