Full Name,Position(s),Jersey Number,Team Name
Aaron Wiggins,G,21,Oklahoma City Thunder
Ajay Mitchell,G,25,Oklahoma City Thunder
Alex Caruso,G,9,Oklahoma City Thunder
Branden Carlson,C,15,Oklahoma City Thunder
Brooks Barnhizer,F,23,Oklahoma City Thunder
Cason Wallace,G,22,Oklahoma City Thunder
Chet Holmgren,C,7,Oklahoma City Thunder
Isaiah Hartenstein,C,55,Oklahoma City Thunder
Isaiah Joe,G,11,Oklahoma City Thunder
Jalen Williams,G,8,Oklahoma City Thunder
Jared McCain,G,3,Oklahoma City Thunder
Jaylin Williams,F,6,Oklahoma City Thunder
Kenrich Williams,G,34,Oklahoma City Thunder
Luguentz Dort,G,5,Oklahoma City Thunder
Nikola Topic,G,44,Oklahoma City Thunder
Payton Sandfort,F,N/A,Oklahoma City Thunder
Shai Gilgeous-Alexander,G,2,Oklahoma City Thunder
Thomas Sorber,C,12,Oklahoma City Thunder
