Full Name,Position(s),Jersey Number,Team Name
Alex Morales,G,30,Orlando Magic
Anthony Black,G,0,Orlando Magic
Colin Castleton,C,14,Orlando Magic
Desmond Bane,G,3,Orlando Magic
Franz Wagner,F,22,Orlando Magic
Goga Bitadze,C,35,Orlando Magic
Jalen Suggs,G,4,Orlando Magic
Jamal Cain,F,8,Orlando Magic
Jase Richardson,G,11,Orlando Magic
Jett Howard,G,13,Orlando Magic
Jevon Carter,G,2,Orlando Magic
Jonathan Isaac,F,1,Orlando Magic
Moritz Wagner,F,21,Orlando Magic
Noah Penda,F,93,Orlando Magic
Paolo Banchero,F,5,Orlando Magic
Tristan da Silva,F,23,Orlando Magic
Wendell Carter Jr.,C,34,Orlando Magic
