Full Name,Position(s),Jersey Number,Team Name
Adem Bona,C,30,Philadelphia 76ers
Andre Drummond,C,1,Philadelphia 76ers
Cameron Payne,PG,20,Philadelphia 76ers
Dalen Terry,F,14,Philadelphia 76ers
Dominick Barlow,F,25,Philadelphia 76ers
Jabari Walker,F,33,Philadelphia 76ers
Joel Embiid,C,21,Philadelphia 76ers
Johni Broome,F,22,Philadelphia 76ers
Justin Edwards,F,11,Philadelphia 76ers
Kelly Oubre Jr.,G,9,Philadelphia 76ers
Kyle Lowry,G,7,Philadelphia 76ers
MarJon Beauchamp,F,16,Philadelphia 76ers
Paul George,F,8,Philadelphia 76ers
Quentin Grimes,G,5,Philadelphia 76ers
Trendon Watford,F,12,Philadelphia 76ers
Tyrese Martin,G,23,Philadelphia 76ers
Tyrese Maxey,G,0,Philadelphia 76ers
VJ Edgecombe,G,77,Philadelphia 76ers
