Full Name,Position(s),Jersey Number,Team Name
Amir Coffey,G,2,Phoenix Suns
CJ Huntley,F,22,Phoenix Suns
Collin Gillespie,G,12,Phoenix Suns
Devin Booker,G,1,Phoenix Suns
Dillon Brooks,F,3,Phoenix Suns
Grayson Allen,G,8,Phoenix Suns
Haywood Highsmith,F,7,Phoenix Suns
Isaiah Livers,F,18,Phoenix Suns
Jalen Green,G,4,Phoenix Suns
Jamaree Bouyea,G,17,Phoenix Suns
Jordan Goodwin,G,23,Phoenix Suns
Khaman Maluach,C,10,Phoenix Suns
Koby Brea,G,14,Phoenix Suns
Mark Williams,C,15,Phoenix Suns
Oso Ighodaro,F,11,Phoenix Suns
Rasheer Fleming,F,20,Phoenix Suns
Royce O'Neale,F,00,Phoenix Suns
Ryan Dunn,F,0,Phoenix Suns
