Full Name,Position(s),Jersey Number,Team Name
Blake Wesley,G,1,Portland Trail Blazers
Caleb Love,G,2,Portland Trail Blazers
Chris Youngblood,G,11,Portland Trail Blazers
Damian Lillard,G,0,Portland Trail Blazers
Deni Avdija,F,8,Portland Trail Blazers
Donovan Clingan,C,23,Portland Trail Blazers
Jayson Kent,G,29,Portland Trail Blazers
Jerami Grant,F,9,Portland Trail Blazers
Jrue Holiday,G,5,Portland Trail Blazers
Kris Murray,F,24,Portland Trail Blazers
Matisse Thybulle,G,4,Portland Trail Blazers
Robert Williams III,C,35,Portland Trail Blazers
Scoot Henderson,G,00,Portland Trail Blazers
Shaedon Sharpe,G,17,Portland Trail Blazers
Sidy Cissoko,G,91,Portland Trail Blazers
Toumani Camara,F,33,Portland Trail Blazers
Vit Krejci,G,27,Portland Trail Blazers
Yang Hansen,C,16,Portland Trail Blazers
