Full Name,Position(s),Jersey Number,Team Name
Daeqwon Plowden,G,29,Sacramento Kings
De'Andre Hunter,F,15,Sacramento Kings
DeMar DeRozan,G,10,Sacramento Kings
Devin Carter,G,22,Sacramento Kings
Domantas Sabonis,F,11,Sacramento Kings
Doug McDermott,F,7,Sacramento Kings
Drew Eubanks,F,19,Sacramento Kings
Dylan Cardwell,C,32,Sacramento Kings
Isaiah Stevens,G,24,Sacramento Kings
Keegan Murray,F,13,Sacramento Kings
Killian Hayes,G,3,Sacramento Kings
Malik Monk,G,0,Sacramento Kings
Maxime Raynaud,C,42,Sacramento Kings
Nique Clifford,G,5,Sacramento Kings
Patrick Baldwin Jr.,G,23,Sacramento Kings
Precious Achiuwa,PF,9,Sacramento Kings
Russell Westbrook,G,18,Sacramento Kings
Zach LaVine,G,8,Sacramento Kings
