Full Name,Position(s),Jersey Number,Team Name
Bismack Biyombo,C,18,San Antonio Spurs
Carter Bryant,F,11,San Antonio Spurs
David Jones Garcia,F,25,San Antonio Spurs
De'Aaron Fox,G,4,San Antonio Spurs
Devin Vassell,G,24,San Antonio Spurs
Dylan Harper,G,2,San Antonio Spurs
Emanuel Miller,F,14,San Antonio Spurs
Harrison Barnes,F,40,San Antonio Spurs
Harrison Ingram,F,55,San Antonio Spurs
Jordan McLaughlin,G,0,San Antonio Spurs
Julian Champagnie,F,30,San Antonio Spurs
Keldon Johnson,F,3,San Antonio Spurs
Kelly Olynyk,F,8,San Antonio Spurs
Lindy Waters III,F,43,San Antonio Spurs
Luke Kornet,C,7,San Antonio Spurs
Mason Plumlee,C,22,San Antonio Spurs
Stephon Castle,G,5,San Antonio Spurs
Victor Wembanyama,F,1,San Antonio Spurs
