Full Name,Position(s),Jersey Number,Team Name
A.J. Lawson,G,0,Toronto Raptors
Alijah Martin,G,55,Toronto Raptors
Brandon Ingram,F,3,Toronto Raptors
Chucky Hepburn,G,24,Toronto Raptors
Collin Murray-Boyles,F,12,Toronto Raptors
Garrett Temple,G,17,Toronto Raptors
Gradey Dick,G,1,Toronto Raptors
Immanuel Quickley,G,5,Toronto Raptors
Ja'Kobe Walter,G,14,Toronto Raptors
Jakob Poeltl,C,19,Toronto Raptors
Jamal Shead,G,23,Toronto Raptors
Jamison Battle,F,77,Toronto Raptors
Jonathan Mogbo,F,2,Toronto Raptors
RJ Barrett,F,9,Toronto Raptors
Sandro Mamukelashvili,F,54,Toronto Raptors
Scottie Barnes,F,4,Toronto Raptors
Trayce Jackson-Davis,F,32,Toronto Raptors
