Full Name,Position(s),Jersey Number,Team Name
Ace Bailey,G,19,Utah Jazz
Blake Hinson,F,2,Utah Jazz
Brice Sensabaugh,F,28,Utah Jazz
Cody Williams,F,5,Utah Jazz
Elijah Harkless,G,16,Utah Jazz
Isaiah Collier,G,8,Utah Jazz
Jaren Jackson Jr.,F,20,Utah Jazz
John Konchar,G,55,Utah Jazz
Jusuf Nurkic,C,30,Utah Jazz
Kevin Love,F,42,Utah Jazz
Keyonte George,G,3,Utah Jazz
Kyle Filipowski,F,22,Utah Jazz
Lauri Markkanen,F,23,Utah Jazz
Mo Bamba,C,11,Utah Jazz
Oscar Tshiebwe,C,34,Utah Jazz
Svi Mykhailiuk,G,10,Utah Jazz
Walker Kessler,C,24,Utah Jazz
