Full Name,Position(s),Jersey Number,Team Name
Alex Sarr,C,20,Washington Wizards
Alondes Williams,G,31,Washington Wizards
Anthony Davis,F,23,Washington Wizards
Anthony Gill,F,16,Washington Wizards
Bilal Coulibaly,G,0,Washington Wizards
Bub Carrington,G,7,Washington Wizards
Cam Whitmore,F,1,Washington Wizards
D'Angelo Russell,G,N/A,Washington Wizards
Jaden Hardy,G,8,Washington Wizards
Jamir Watkins,G,5,Washington Wizards
Julian Reese,F,15,Washington Wizards
Justin Champagnie,F,9,Washington Wizards
Kadary Richmond,G,19,Washington Wizards
Kyshawn George,F,18,Washington Wizards
Leaky Black,F,14,Washington Wizards
Sharife Cooper,G,13,Washington Wizards
Skal Labissiere,C,17,Washington Wizards
Trae Young,G,3,Washington Wizards
Tre Johnson,G,12,Washington Wizards
Tristan Vukcevic,F,00,Washington Wizards
Will Riley,G,27,Washington Wizards
